GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22ADEPB7546B2Z6,OM STATIONERY STORES,CR/2526/MA/22,Regular,08/05/2025,6399,Chhattisgarh,No,5433.54,0,482.82,482.82,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CR/2526/MA/28,Regular,14/05/2025,4960,Chhattisgarh,No,4235.17,0,362.41,362.41,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CR/2526/MA/56,Regular,22/05/2025,1640,Chhattisgarh,No,1391.7,0,124.18,124.18,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/007,Regular,02/05/2025,600,Chhattisgarh,No,535.72,0,32.14,32.14,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/031,Regular,08/05/2025,4880,Chhattisgarh,No,4135.52,0,372.2,372.2,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/034,Regular,09/05/2025,80,Chhattisgarh,No,67.8,0,6.1,6.1,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/047,Regular,13/05/2025,625,Chhattisgarh,No,529.66,0,47.67,47.67,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/075,Regular,17/05/2025,2000,Chhattisgarh,No,1745.38,0,127.35,127.35,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/082,Regular,19/05/2025,680,Chhattisgarh,No,576.3,0,51.86,51.86,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/089,Regular,20/05/2025,250,Chhattisgarh,No,211.86,0,19.07,19.07,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CSH/2526/MA/100,Regular,23/05/2025,3550,Chhattisgarh,No,3140.1,0,204.94,204.94,0,May'25,11/06/2025,Yes,,100%,,,
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C10/25-26,Regular,11/05/2025,9765,Chhattisgarh,No,9300,0,232.5,232.5,0,May'25,10/06/2025,Yes,,100%,E-Invoice,8b0e44a463a5c707ddaf13e0600dca3836f9516cb389eea8c7fa165f594b2975,14/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C11/25-26,Regular,14/05/2025,1260,Chhattisgarh,No,1200,0,30,30,0,May'25,10/06/2025,Yes,,100%,E-Invoice,02cae868a6bb98b4e43f84f65e8f58bb9c0a6411b73eeb37ec67aeef51076f24,14/05/2025
