GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22AEJPC6339M1ZF,LAXMI STATIONERY STORES,GST/01898/25-26,Regular,08/05/2025,150,Chhattisgarh,No,127.12,0,11.44,11.44,0,May'25,09/06/2025,Yes,,100%,,,
22AEJPC6339M1ZF,LAXMI STATIONERY STORES,GST/01934/25-26,Regular,08/05/2025,1000,Chhattisgarh,No,882.86,0,58.57,58.57,0,May'25,09/06/2025,Yes,,100%,,,
06AAACI2300N1ZW,LIBSYS LIMITED,GLIB2503028Q1,Regular,10/03/2025,77438,Chhattisgarh,No,65625,11812.5,0,0,0,Mar'25,20/05/2025,Yes,,100%,E-Invoice,92f93b32aef650d571c1cb02ffa5a0d05e545785227e39a7306da3539d9ef5a2,10/03/2025
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR100,Regular,23/05/2025,605,Chhattisgarh,No,512.5,0,46.13,46.13,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR104,Regular,26/05/2025,3299,Chhattisgarh,No,2796,0,251.64,251.64,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR105,Regular,27/05/2025,3979,Chhattisgarh,No,3372,0,303.48,303.48,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR60,Regular,02/05/2025,470,Chhattisgarh,No,398,0,35.82,35.82,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR63,Regular,06/05/2025,4140,Chhattisgarh,No,3508.75,0,315.79,315.79,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR63A,Regular,07/05/2025,1653,Chhattisgarh,No,1400.5,0,126.05,126.05,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR65,Regular,09/05/2025,2264,Chhattisgarh,No,1919,0,172.71,172.71,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR68,Regular,10/05/2025,3517,Chhattisgarh,No,2980.72,0,268.26,268.26,0,May'25,07/06/2025,Yes,,100%,,,
22ADNPJ2778E1ZK,BHAGAT TRADERS,CR69,Regular,13/05/2025,4051,Chhattisgarh,No,3433.2,0,308.99,308.99,0,May'25,07/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA94979,Regular,02/05/2025,2687,Chhattisgarh,No,2559,0,64,64,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA95819,Regular,02/05/2025,9102,Chhattisgarh,No,8669,0,216.5,216.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA96114,Regular,02/05/2025,6421,Chhattisgarh,No,6115,0,153,153,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA96726,Regular,02/05/2025,4982,Chhattisgarh,No,4745,0,118.5,118.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA96753,Regular,02/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA97103,Regular,02/05/2025,10003,Chhattisgarh,No,9527,0,238,238,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AA98409,Regular,02/05/2025,8819,Chhattisgarh,No,8399,0,210,210,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB00782,Regular,03/05/2025,6217,Chhattisgarh,No,5921,0,148,148,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB05929,Regular,05/05/2025,2794,Chhattisgarh,No,2661,0,66.5,66.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB06767,Regular,05/05/2025,4409,Chhattisgarh,No,4199,0,105,105,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB08247,Regular,06/05/2025,6139,Chhattisgarh,No,5847,0,146,146,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB08974,Regular,06/05/2025,5521,Chhattisgarh,No,5259,0,131,131,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB09345,Regular,06/05/2025,8128,Chhattisgarh,No,7741,0,193.5,193.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB10079,Regular,06/05/2025,8778,Chhattisgarh,No,8360,0,209,209,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB10930,Regular,07/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB13262,Regular,07/05/2025,8735,Chhattisgarh,No,8319,0,208,208,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB13531,Regular,07/05/2025,4624,Chhattisgarh,No,4404,0,110,110,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB13567,Regular,07/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB13797,Regular,07/05/2025,2837,Chhattisgarh,No,2702,0,67.5,67.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB14589,Regular,08/05/2025,5585,Chhattisgarh,No,5319,0,133,133,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB14639,Regular,08/05/2025,4409,Chhattisgarh,No,4199,0,105,105,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB15080,Regular,08/05/2025,5505,Chhattisgarh,No,5243,0,131,131,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB15649,Regular,08/05/2025,4344,Chhattisgarh,No,4137,0,103.5,103.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB16034,Regular,08/05/2025,2837,Chhattisgarh,No,2702,0,67.5,67.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB16959,Regular,08/05/2025,2944,Chhattisgarh,No,2804,0,70,70,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB18616,Regular,09/05/2025,4659,Chhattisgarh,No,4437,0,111,111,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB19595,Regular,09/05/2025,5898,Chhattisgarh,No,5618,0,140,140,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB19671,Regular,09/05/2025,8216,Chhattisgarh,No,7825,0,195.5,195.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB20652,Regular,10/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB24920,Regular,12/05/2025,3913,Chhattisgarh,No,3727,0,93,93,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB28590,Regular,13/05/2025,5656,Chhattisgarh,No,5387,0,134.5,134.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB31247,Regular,14/05/2025,7677,Chhattisgarh,No,7312,0,182.5,182.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB32731,Regular,14/05/2025,4085,Chhattisgarh,No,3890,0,97.5,97.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB32964,Regular,14/05/2025,4755,Chhattisgarh,No,4529,0,113,113,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB33190,Regular,14/05/2025,499,Chhattisgarh,No,475,0,12,12,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB33462,Regular,14/05/2025,276,Chhattisgarh,No,263,0,6.5,6.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB33818,Regular,14/05/2025,10520,Chhattisgarh,No,10019,0,250.5,250.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB34190,Regular,14/05/2025,6748,Chhattisgarh,No,6427,0,160.5,160.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB34238,Regular,14/05/2025,499,Chhattisgarh,No,475,0,12,12,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB34977,Regular,15/05/2025,3052,Chhattisgarh,No,2907,0,72.5,72.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB34988,Regular,15/05/2025,5204,Chhattisgarh,No,4956,0,124,124,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB35569,Regular,15/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB35882,Regular,15/05/2025,5156,Chhattisgarh,No,4911,0,122.5,122.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB37001,Regular,15/05/2025,5054,Chhattisgarh,No,4813,0,120.5,120.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB37306,Regular,15/05/2025,499,Chhattisgarh,No,475,0,12,12,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB37394,Regular,15/05/2025,499,Chhattisgarh,No,475,0,12,12,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB37825,Regular,15/05/2025,5204,Chhattisgarh,No,4956,0,124,124,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB39080,Regular,16/05/2025,5289,Chhattisgarh,No,5037,0,126,126,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB39749,Regular,16/05/2025,10137,Chhattisgarh,No,9654,0,241.5,241.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB40713,Regular,16/05/2025,499,Chhattisgarh,No,475,0,12,12,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB52791,Regular,20/05/2025,12748,Chhattisgarh,No,12140,0,304,304,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB53832,Regular,20/05/2025,3936,Chhattisgarh,No,3748,0,94,94,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB55076,Regular,20/05/2025,3966,Chhattisgarh,No,3777,0,94.5,94.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB59933,Regular,22/05/2025,4624,Chhattisgarh,No,4404,0,110,110,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB60485,Regular,22/05/2025,3770,Chhattisgarh,No,3590,0,90,90,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB62537,Regular,22/05/2025,3969,Chhattisgarh,No,3780,0,94.5,94.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB71706,Regular,26/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB72473,Regular,26/05/2025,8014,Chhattisgarh,No,7632,0,191,191,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB76332,Regular,27/05/2025,4454,Chhattisgarh,No,4242,0,106,106,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB76901,Regular,27/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB79155,Regular,28/05/2025,5496,Chhattisgarh,No,5234,0,131,131,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB81434,Regular,29/05/2025,17283,Chhattisgarh,No,16461,0,411,411,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB81884,Regular,29/05/2025,15764,Chhattisgarh,No,15014,0,375,375,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB82240,Regular,29/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB82571,Regular,29/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB83367,Regular,29/05/2025,15764,Chhattisgarh,No,15014,0,375,375,0,May'25,11/06/2025,Yes,,100%,,,
22AABCI2726B1ZC,INTERGLOBE AVIATION LIMITED,CG1252605AB83618,Regular,29/05/2025,199,Chhattisgarh,No,190,0,4.5,4.5,0,May'25,11/06/2025,Yes,,100%,,,
22AAACB2894G1ZX,BHARTI AIRTEL LIMITED,MF2622I000086660,Regular,21/05/2025,470.82,Chhattisgarh,No,399,0,35.91,35.91,0,May'25,10/06/2025,Yes,,100%,E-Invoice,df99db3abdec501c959fe8a46d37af505ed0ae6f0601b8d2301700364baaa0b8,21/05/2025
22AAACB2894G1ZX,BHARTI AIRTEL LIMITED,MF2622I000089095,Regular,21/05/2025,352.82,Chhattisgarh,No,299,0,26.91,26.91,0,May'25,10/06/2025,Yes,,100%,E-Invoice,6139918bced2bd521658732d385aab90cdc38ac65e4e65d6efbfa2e080dd3420,21/05/2025
29AABCO6474A1ZH,OPAL -RT TECHNOLOGIES INDIA PRIVATE LIMITED,7/2025-26,Regular,23/05/2025,1594770,Chhattisgarh,No,1351500,243270,0,0,0,May'25,07/06/2025,Yes,,100%,E-Invoice,6451a5867585a7301e24e4b9458f9aaf670469c0267a43bdadc83cfd2e2d34fc,23/05/2025
22ALOPM1868M2ZK,Padma Enterprises,51,Regular,10/03/2025,19370,Chhattisgarh,No,16415.25,0,1477.37,1477.37,0,Apr'25,23/05/2025,Yes,,100%,,,
07AAECK2660D1ZU,KSG AUTOMATION PVT. LTD.,DEL/0719/25,Regular,29/05/2025,20400,Chhattisgarh,No,17288.13,3111.86,0,0,0,May'25,10/06/2025,Yes,,100%,,,
22AJJPS3590H1Z0,SURANA ENTERPRISES,SE/25-26/045,Regular,31/05/2025,597,Chhattisgarh,No,506,0,45.54,45.54,0,May'25,10/06/2025,Yes,,100%,E-Invoice,c4f140647999dc65513f1d9bd878efd868c2fecded8c963f4af2b7a2d3b115cb,31/05/2025
